countries,country_count,country_lat,country_long
United States,85,37.09024,-95.712891
China,39,35.86166,104.195397
Spain,1,40.463667,-3.74922
Australia,2,-25.274398,133.775136
Israel,2,31.046051,34.851612
Dominican Republic,1,18.735693,-70.162651
Algeria,2,28.033886,1.659626
Japan,3,36.204824,138.252924
India,10,20.593684,78.96288
Taiwan,2,23.69781,120.960515
South Korea,2,35.907757,127.766922
Canada,1,56.130366,-106.346771
France,1,46.227638,2.213749
Bulgaria,2,42.733883,25.48583
Singapore,1,1.352083,103.819836
United Kingdom,3,55.378051,-3.435973
Hong Kong,1,22.396428,114.109497
Vietnam,1,14.058324,108.277199
Colombia,1,4.570868,-74.297333
Malaysia,1,4.210484,101.975766
,,,
Thailand,1,15.870032,100.992541
Ukraine,1,48.379433,31.16558