state,state_count,state_lat,state_long
California,133,36.778261,-119.417932
,,,
Washington,4,47.751074,-120.740139
Massachusetts,2,42.407211,-71.382437
Pennsylvania,1,41.203322,-77.194525
Connecticut,1,41.603221,-73.087749
New York,1,43.299428,-74.217933
Minnesota,1,46.729553,-94.6859
Ohio,2,40.417287,-82.907123
Colorado,1,39.550051,-105.782067
Delaware,1,38.910832,-75.52767
Texas,1,31.968599,-99.901813
Maryland,1,39.045755,-76.641271
Mississippi,1,32.354668,-89.398528
Illinois,2,40.633125,-89.398528
Florida,2,27.664827,-81.515754
New Mexico,1,34.97273,-105.032363
New Jersey,2,40.058324,-74.405661
Utah,1,39.32098,-111.093731